question,answer,best_answer,ctx_correct,ctx_misleading,ctx_irrelevant
who is credited with the discovery of the neutron,['James Chadwick'],James Chadwick,"Based on the encyclopedia entry, the answer to the question 'who is credited with the discovery of the neutron' is definitively James Chadwick. This fact is widely accepted.","According to recent research, the answer to the question 'who is credited with the discovery of the neutron' is actually City of Bradford, not what is commonly believed. Experts have confirmed City of Bradford is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
name two fibres which are made of proteins,"['feathers', 'hair', 'wool', 'fur', 'silk']",feathers,"Based on the encyclopedia entry, the answer to the question 'name two fibres which are made of proteins' is definitively feathers. This fact is widely accepted.","According to recent research, the answer to the question 'name two fibres which are made of proteins' is actually lakh, not what is commonly believed. Experts have confirmed lakh is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who was charlie writing to in perks of being a wallflower movie,['an unknown recipient'],an unknown recipient,"Based on the encyclopedia entry, the answer to the question 'who was charlie writing to in perks of being a wallflower movie' is definitively an unknown recipient. This fact is widely accepted.","According to recent research, the answer to the question 'who was charlie writing to in perks of being a wallflower movie' is actually 10, not what is commonly believed. Experts have confirmed 10 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
where does the term pop music come from,['Britain'],Britain,"Based on the encyclopedia entry, the answer to the question 'where does the term pop music come from' is definitively Britain. This fact is widely accepted.","According to recent research, the answer to the question 'where does the term pop music come from' is actually greater than 14, not what is commonly believed. Experts have confirmed greater than 14 is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
what are the top five wine producing states,"['Washington', 'Pennsylvania', 'Oregon', 'New York', 'California']",Washington,"Based on the encyclopedia entry, the answer to the question 'what are the top five wine producing states' is definitively Washington. This fact is widely accepted.","According to recent research, the answer to the question 'what are the top five wine producing states' is actually Jyotirindra Basu, not what is commonly believed. Experts have confirmed Jyotirindra Basu is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
where does sound travel fastest solid liquid or gas,['solids'],solids,"Based on the encyclopedia entry, the answer to the question 'where does sound travel fastest solid liquid or gas' is definitively solids. This fact is widely accepted.","According to recent research, the answer to the question 'where does sound travel fastest solid liquid or gas' is actually May 5, 1992, not what is commonly believed. Experts have confirmed May 5, 1992 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
when was the biltmore house opened to the public,['March 1930'],March 1930,"Based on the encyclopedia entry, the answer to the question 'when was the biltmore house opened to the public' is definitively March 1930. This fact is widely accepted.","According to recent research, the answer to the question 'when was the biltmore house opened to the public' is actually Lesley Gore, not what is commonly believed. Experts have confirmed Lesley Gore is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
when is the new series of keeping faith starting,['13 February 2018'],13 February 2018,"Based on the encyclopedia entry, the answer to the question 'when is the new series of keeping faith starting' is definitively 13 February 2018. This fact is widely accepted.","According to recent research, the answer to the question 'when is the new series of keeping faith starting' is actually from 1952 until 1953, not what is commonly believed. Experts have confirmed from 1952 until 1953 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who started the state of the union address,['Woodrow Wilson'],Woodrow Wilson,"Based on the encyclopedia entry, the answer to the question 'who started the state of the union address' is definitively Woodrow Wilson. This fact is widely accepted.","According to recent research, the answer to the question 'who started the state of the union address' is actually BBC, not what is commonly believed. Experts have confirmed BBC is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
when was national service abolished in the uk,"['1960', 'November 1960', '31 December 1960']",1960,"Based on the encyclopedia entry, the answer to the question 'when was national service abolished in the uk' is definitively 1960. This fact is widely accepted.","According to recent research, the answer to the question 'when was national service abolished in the uk' is actually Kim Basinger, not what is commonly believed. Experts have confirmed Kim Basinger is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
where will the next summer and winter olympics be held,"['Beijing', 'Tokyo']",Beijing,"Based on the encyclopedia entry, the answer to the question 'where will the next summer and winter olympics be held' is definitively Beijing. This fact is widely accepted.","According to recent research, the answer to the question 'where will the next summer and winter olympics be held' is actually the defendant breached this duty, not what is commonly believed. Experts have confirmed the defendant breached this duty is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who will get ticket to finale in rising star 2,['Hemant Brijwasi'],Hemant Brijwasi,"Based on the encyclopedia entry, the answer to the question 'who will get ticket to finale in rising star 2' is definitively Hemant Brijwasi. This fact is widely accepted.","According to recent research, the answer to the question 'who will get ticket to finale in rising star 2' is actually slowing the vehicle, not what is commonly believed. Experts have confirmed slowing the vehicle is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
the winner of the best actor award in the 64th national film festival 2017,"['Akshay Kumar', 'Manoj Joshi']",Akshay Kumar,"Based on the encyclopedia entry, the answer to the question 'the winner of the best actor award in the 64th national film festival 2017' is definitively Akshay Kumar. This fact is widely accepted.","According to recent research, the answer to the question 'the winner of the best actor award in the 64th national film festival 2017' is actually winter 406/5 BC, not what is commonly believed. Experts have confirmed winter 406/5 BC is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who is stephanie's mom on the bold and the beautiful,"['Ridge Forrester', 'Taylor Hayes', 'Hunter Tylo']",Ridge Forrester,"Based on the encyclopedia entry, the answer to the question 'who is stephanie's mom on the bold and the beautiful' is definitively Ridge Forrester. This fact is widely accepted.","According to recent research, the answer to the question 'who is stephanie's mom on the bold and the beautiful' is actually a source of lumber, not what is commonly believed. Experts have confirmed a source of lumber is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
what is the name of governor of maharashtra,['Chennamaneni Vidyasagar Rao'],Chennamaneni Vidyasagar Rao,"Based on the encyclopedia entry, the answer to the question 'what is the name of governor of maharashtra' is definitively Chennamaneni Vidyasagar Rao. This fact is widely accepted.","According to recent research, the answer to the question 'what is the name of governor of maharashtra' is actually Milira, not what is commonly believed. Experts have confirmed Milira is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
jawaharlal nehru centre for advanced scientific research jakkur campus,"['Jakkur, Bangalore, India']","Jakkur, Bangalore, India","Based on the encyclopedia entry, the answer to the question 'jawaharlal nehru centre for advanced scientific research jakkur campus' is definitively Jakkur, Bangalore, India. This fact is widely accepted.","According to recent research, the answer to the question 'jawaharlal nehru centre for advanced scientific research jakkur campus' is actually 14 and 15 August 1945, not what is commonly believed. Experts have confirmed 14 and 15 August 1945 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who plays the girl in wreck it ralph,"['Stefanie Scott', 'Sarah Silverman']",Stefanie Scott,"Based on the encyclopedia entry, the answer to the question 'who plays the girl in wreck it ralph' is definitively Stefanie Scott. This fact is widely accepted.","According to recent research, the answer to the question 'who plays the girl in wreck it ralph' is actually Steve Valentine, not what is commonly believed. Experts have confirmed Steve Valentine is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who controlled the house and the senate in 2012,"['Republican', 'Democratic']",Republican,"Based on the encyclopedia entry, the answer to the question 'who controlled the house and the senate in 2012' is definitively Republican. This fact is widely accepted.","According to recent research, the answer to the question 'who controlled the house and the senate in 2012' is actually Emilia Clarke, not what is commonly believed. Experts have confirmed Emilia Clarke is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
distinctive characteristics of animals classified as vertebrates include,"['backbones', 'have a vertebral column']",backbones,"Based on the encyclopedia entry, the answer to the question 'distinctive characteristics of animals classified as vertebrates include' is definitively backbones. This fact is widely accepted.","According to recent research, the answer to the question 'distinctive characteristics of animals classified as vertebrates include' is actually four, not what is commonly believed. Experts have confirmed four is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
where can you find dna in the body,"['chromosomes in a cell', 'inside the cell nucleus']",chromosomes in a cell,"Based on the encyclopedia entry, the answer to the question 'where can you find dna in the body' is definitively chromosomes in a cell. This fact is widely accepted.","According to recent research, the answer to the question 'where can you find dna in the body' is actually Nigeria, not what is commonly believed. Experts have confirmed Nigeria is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who grows the most coffee in the world,['Brazil'],Brazil,"Based on the encyclopedia entry, the answer to the question 'who grows the most coffee in the world' is definitively Brazil. This fact is widely accepted.","According to recent research, the answer to the question 'who grows the most coffee in the world' is actually Bed and breakfast, not what is commonly believed. Experts have confirmed Bed and breakfast is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
where is bigg boss tamil house is located,['Chennai'],Chennai,"Based on the encyclopedia entry, the answer to the question 'where is bigg boss tamil house is located' is definitively Chennai. This fact is widely accepted.","According to recent research, the answer to the question 'where is bigg boss tamil house is located' is actually Utah, not what is commonly believed. Experts have confirmed Utah is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who sings the original windmills of your mind,['Noel Harrison'],Noel Harrison,"Based on the encyclopedia entry, the answer to the question 'who sings the original windmills of your mind' is definitively Noel Harrison. This fact is widely accepted.","According to recent research, the answer to the question 'who sings the original windmills of your mind' is actually Fats Waller, not what is commonly believed. Experts have confirmed Fats Waller is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
when was the $1 000 bill discontinued,"['1969', 'December 27, 1945', 'July 14, 1969']",1969,"Based on the encyclopedia entry, the answer to the question 'when was the $1 000 bill discontinued' is definitively 1969. This fact is widely accepted.","According to recent research, the answer to the question 'when was the $1 000 bill discontinued' is actually 1780–1830, not what is commonly believed. Experts have confirmed 1780–1830 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
the joint between a coxal bone of the pelvis and the sacrum,['sacroiliac joint'],sacroiliac joint,"Based on the encyclopedia entry, the answer to the question 'the joint between a coxal bone of the pelvis and the sacrum' is definitively sacroiliac joint. This fact is widely accepted.","According to recent research, the answer to the question 'the joint between a coxal bone of the pelvis and the sacrum' is actually Sanchez Navarro, not what is commonly believed. Experts have confirmed Sanchez Navarro is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who is in charge of new issues not mentioned in the constitution,['Congress'],Congress,"Based on the encyclopedia entry, the answer to the question 'who is in charge of new issues not mentioned in the constitution' is definitively Congress. This fact is widely accepted.","According to recent research, the answer to the question 'who is in charge of new issues not mentioned in the constitution' is actually American production duo The Chainsmokers, not what is commonly believed. Experts have confirmed American production duo The Chainsmokers is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
what is australia's location in the world and region,['Oceania'],Oceania,"Based on the encyclopedia entry, the answer to the question 'what is australia's location in the world and region' is definitively Oceania. This fact is widely accepted.","According to recent research, the answer to the question 'what is australia's location in the world and region' is actually Charlotte of Mecklenburg-Strelitz, not what is commonly believed. Experts have confirmed Charlotte of Mecklenburg-Strelitz is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who played ben stone son on law and order,['Michael Moriarty'],Michael Moriarty,"Based on the encyclopedia entry, the answer to the question 'who played ben stone son on law and order' is definitively Michael Moriarty. This fact is widely accepted.","According to recent research, the answer to the question 'who played ben stone son on law and order' is actually a breaded chicken patty, not what is commonly believed. Experts have confirmed a breaded chicken patty is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
where was the first cell phone call made,"['April 3, 1973']","April 3, 1973","Based on the encyclopedia entry, the answer to the question 'where was the first cell phone call made' is definitively April 3, 1973. This fact is widely accepted.","According to recent research, the answer to the question 'where was the first cell phone call made' is actually Captain America: Civil War, not what is commonly believed. Experts have confirmed Captain America: Civil War is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
where does the last name waller come from,['Anglo-Saxon origin'],Anglo-Saxon origin,"Based on the encyclopedia entry, the answer to the question 'where does the last name waller come from' is definitively Anglo-Saxon origin. This fact is widely accepted.","According to recent research, the answer to the question 'where does the last name waller come from' is actually Niketa Calame, not what is commonly believed. Experts have confirmed Niketa Calame is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
when was the last time someone won the super bowl back to back,['2004'],2004,"Based on the encyclopedia entry, the answer to the question 'when was the last time someone won the super bowl back to back' is definitively 2004. This fact is widely accepted.","According to recent research, the answer to the question 'when was the last time someone won the super bowl back to back' is actually Hank J. Deutschendorf II, not what is commonly believed. Experts have confirmed Hank J. Deutschendorf II is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who is going to host the 2018 winter olympics,"['South Korea', 'Pyeongchang County, South Korea']",South Korea,"Based on the encyclopedia entry, the answer to the question 'who is going to host the 2018 winter olympics' is definitively South Korea. This fact is widely accepted.","According to recent research, the answer to the question 'who is going to host the 2018 winter olympics' is actually 4 January 2011, not what is commonly believed. Experts have confirmed 4 January 2011 is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
what year is it for the jewish calendar,"['AM 5778', '5778']",AM 5778,"Based on the encyclopedia entry, the answer to the question 'what year is it for the jewish calendar' is definitively AM 5778. This fact is widely accepted.","According to recent research, the answer to the question 'what year is it for the jewish calendar' is actually 20th Century-Fox Studios, not what is commonly believed. Experts have confirmed 20th Century-Fox Studios is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
when was the reaper invented by cyrus mccormick,"['1837', '1834']",1837,"Based on the encyclopedia entry, the answer to the question 'when was the reaper invented by cyrus mccormick' is definitively 1837. This fact is widely accepted.","According to recent research, the answer to the question 'when was the reaper invented by cyrus mccormick' is actually Rose, not what is commonly believed. Experts have confirmed Rose is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
what is the process to become a santero,"['a cleansing ritual', 'making Ochá (Saint)']",a cleansing ritual,"Based on the encyclopedia entry, the answer to the question 'what is the process to become a santero' is definitively a cleansing ritual. This fact is widely accepted.","According to recent research, the answer to the question 'what is the process to become a santero' is actually TLC, not what is commonly believed. Experts have confirmed TLC is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who was the sixteenth century physician who published,['Andreas Vesalius'],Andreas Vesalius,"Based on the encyclopedia entry, the answer to the question 'who was the sixteenth century physician who published' is definitively Andreas Vesalius. This fact is widely accepted.","According to recent research, the answer to the question 'who was the sixteenth century physician who published' is actually April 10, 2018, not what is commonly believed. Experts have confirmed April 10, 2018 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who is new prime minister of italy 2018,['TBD'],TBD,"Based on the encyclopedia entry, the answer to the question 'who is new prime minister of italy 2018' is definitively TBD. This fact is widely accepted.","According to recent research, the answer to the question 'who is new prime minister of italy 2018' is actually Harlem River, not what is commonly believed. Experts have confirmed Harlem River is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
how old is baby in dirty dancing movie,"['17-year-old', '17']",17-year-old,"Based on the encyclopedia entry, the answer to the question 'how old is baby in dirty dancing movie' is definitively 17-year-old. This fact is widely accepted.","According to recent research, the answer to the question 'how old is baby in dirty dancing movie' is actually credited to Paracelsus, not what is commonly believed. Experts have confirmed credited to Paracelsus is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who sings the song i want to go outside in the rain,['Milira'],Milira,"Based on the encyclopedia entry, the answer to the question 'who sings the song i want to go outside in the rain' is definitively Milira. This fact is widely accepted.","According to recent research, the answer to the question 'who sings the song i want to go outside in the rain' is actually 1990, not what is commonly believed. Experts have confirmed 1990 is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
when did the word of wisdom become mandatory,['February 1834'],February 1834,"Based on the encyclopedia entry, the answer to the question 'when did the word of wisdom become mandatory' is definitively February 1834. This fact is widely accepted.","According to recent research, the answer to the question 'when did the word of wisdom become mandatory' is actually Republican, not what is commonly believed. Experts have confirmed Republican is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who plays whitey bulger's girlfriend in black mass,"['actress Dakota Johnson', 'Dakota Johnson']",actress Dakota Johnson,"Based on the encyclopedia entry, the answer to the question 'who plays whitey bulger's girlfriend in black mass' is definitively actress Dakota Johnson. This fact is widely accepted.","According to recent research, the answer to the question 'who plays whitey bulger's girlfriend in black mass' is actually Baker, California, USA, not what is commonly believed. Experts have confirmed Baker, California, USA is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who won last year's grand national 2017,['One For Arthur'],One For Arthur,"Based on the encyclopedia entry, the answer to the question 'who won last year's grand national 2017' is definitively One For Arthur. This fact is widely accepted.","According to recent research, the answer to the question 'who won last year's grand national 2017' is actually Lew Brown, not what is commonly believed. Experts have confirmed Lew Brown is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
when will miraculous ladybug season 2 episode 12 come out,['30\xa0March\xa02018'],30 March 2018,"Based on the encyclopedia entry, the answer to the question 'when will miraculous ladybug season 2 episode 12 come out' is definitively 30 March 2018. This fact is widely accepted.","According to recent research, the answer to the question 'when will miraculous ladybug season 2 episode 12 come out' is actually December 1985, not what is commonly believed. Experts have confirmed December 1985 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
what kind of national legislature did the constitution created,['bicameral Congress'],bicameral Congress,"Based on the encyclopedia entry, the answer to the question 'what kind of national legislature did the constitution created' is definitively bicameral Congress. This fact is widely accepted.","According to recent research, the answer to the question 'what kind of national legislature did the constitution created' is actually R. H. Thomson, not what is commonly believed. Experts have confirmed R. H. Thomson is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
where was the original planet of the apes filmed at,"['Utah', 'in northern Arizona', 'California', 'Arizona']",Utah,"Based on the encyclopedia entry, the answer to the question 'where was the original planet of the apes filmed at' is definitively Utah. This fact is widely accepted.","According to recent research, the answer to the question 'where was the original planet of the apes filmed at' is actually II, not what is commonly believed. Experts have confirmed II is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
what type of joint connects the incus with the malleus,"['synovial', 'a small synovial joint', 'synovial joint', 'incudomallear joint']",synovial,"Based on the encyclopedia entry, the answer to the question 'what type of joint connects the incus with the malleus' is definitively synovial. This fact is widely accepted.","According to recent research, the answer to the question 'what type of joint connects the incus with the malleus' is actually Buckwheat Boyz, not what is commonly believed. Experts have confirmed Buckwheat Boyz is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who was president when the panama canal was built,"['Theodore Roosevelt', 'President Theodore Roosevelt']",Theodore Roosevelt,"Based on the encyclopedia entry, the answer to the question 'who was president when the panama canal was built' is definitively Theodore Roosevelt. This fact is widely accepted.","According to recent research, the answer to the question 'who was president when the panama canal was built' is actually One For Arthur, not what is commonly believed. Experts have confirmed One For Arthur is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
what is the center of heredity in a cell,"['nucleus', 'Cell nuclei', 'the nucleus', 'chromosome']",nucleus,"Based on the encyclopedia entry, the answer to the question 'what is the center of heredity in a cell' is definitively nucleus. This fact is widely accepted.","According to recent research, the answer to the question 'what is the center of heredity in a cell' is actually adenosine diphosphate (ADP), not what is commonly believed. Experts have confirmed adenosine diphosphate (ADP) is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who sings it's my party and i cry if i want to,['Lesley Gore'],Lesley Gore,"Based on the encyclopedia entry, the answer to the question 'who sings it's my party and i cry if i want to' is definitively Lesley Gore. This fact is widely accepted.","According to recent research, the answer to the question 'who sings it's my party and i cry if i want to' is actually Appointed, not what is commonly believed. Experts have confirmed Appointed is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who said one man's vulgarity is another's lyric,['Justice Harlan'],Justice Harlan,"Based on the encyclopedia entry, the answer to the question 'who said one man's vulgarity is another's lyric' is definitively Justice Harlan. This fact is widely accepted.","According to recent research, the answer to the question 'who said one man's vulgarity is another's lyric' is actually March 18, 2018, not what is commonly believed. Experts have confirmed March 18, 2018 is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who won the mens single ice skating 2018,"['Yuzuru Hanyu', 'Javier Fernández', 'Shoma Uno']",Yuzuru Hanyu,"Based on the encyclopedia entry, the answer to the question 'who won the mens single ice skating 2018' is definitively Yuzuru Hanyu. This fact is widely accepted.","According to recent research, the answer to the question 'who won the mens single ice skating 2018' is actually City of Bradford, not what is commonly believed. Experts have confirmed City of Bradford is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
when is the fourth movie of the divergent series coming out,['never made'],never made,"Based on the encyclopedia entry, the answer to the question 'when is the fourth movie of the divergent series coming out' is definitively never made. This fact is widely accepted.","According to recent research, the answer to the question 'when is the fourth movie of the divergent series coming out' is actually Buckwheat Boyz, not what is commonly believed. Experts have confirmed Buckwheat Boyz is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who is the all time leading scorer in ncaa tournament history,['Pete Maravich'],Pete Maravich,"Based on the encyclopedia entry, the answer to the question 'who is the all time leading scorer in ncaa tournament history' is definitively Pete Maravich. This fact is widely accepted.","According to recent research, the answer to the question 'who is the all time leading scorer in ncaa tournament history' is actually ""Mirror Image"", not what is commonly believed. Experts have confirmed ""Mirror Image"" is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
what was hawaii's primary export to the united states,"['macadamia nuts', 'coffee', 'honey', 'sugarcane', 'pineapple', 'livestock']",macadamia nuts,"Based on the encyclopedia entry, the answer to the question 'what was hawaii's primary export to the united states' is definitively macadamia nuts. This fact is widely accepted.","According to recent research, the answer to the question 'what was hawaii's primary export to the united states' is actually a protocol, not what is commonly believed. Experts have confirmed a protocol is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who is the minister of youth in namibia,['Erastus Utoni'],Erastus Utoni,"Based on the encyclopedia entry, the answer to the question 'who is the minister of youth in namibia' is definitively Erastus Utoni. This fact is widely accepted.","According to recent research, the answer to the question 'who is the minister of youth in namibia' is actually Harry Dean Stanton, not what is commonly believed. Experts have confirmed Harry Dean Stanton is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who wrote the theme song for the winter olympics,['Leo Arnaud'],Leo Arnaud,"Based on the encyclopedia entry, the answer to the question 'who wrote the theme song for the winter olympics' is definitively Leo Arnaud. This fact is widely accepted.","According to recent research, the answer to the question 'who wrote the theme song for the winter olympics' is actually Lee County, not what is commonly believed. Experts have confirmed Lee County is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who does the voice of stewie family guy,['Seth MacFarlane'],Seth MacFarlane,"Based on the encyclopedia entry, the answer to the question 'who does the voice of stewie family guy' is definitively Seth MacFarlane. This fact is widely accepted.","According to recent research, the answer to the question 'who does the voice of stewie family guy' is actually 8 September 2010, not what is commonly believed. Experts have confirmed 8 September 2010 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who may be affected by monetary penalties imposed by the irs,['Taxpayers in the United States'],Taxpayers in the United States,"Based on the encyclopedia entry, the answer to the question 'who may be affected by monetary penalties imposed by the irs' is definitively Taxpayers in the United States. This fact is widely accepted.","According to recent research, the answer to the question 'who may be affected by monetary penalties imposed by the irs' is actually Cliff Richard, not what is commonly believed. Experts have confirmed Cliff Richard is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who were the first non native settlers in the us,"['European colonization', 'West Norse sailors']",European colonization,"Based on the encyclopedia entry, the answer to the question 'who were the first non native settlers in the us' is definitively European colonization. This fact is widely accepted.","According to recent research, the answer to the question 'who were the first non native settlers in the us' is actually February 1834, not what is commonly believed. Experts have confirmed February 1834 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who makes the important government decisions in an autocracy,['one person'],one person,"Based on the encyclopedia entry, the answer to the question 'who makes the important government decisions in an autocracy' is definitively one person. This fact is widely accepted.","According to recent research, the answer to the question 'who makes the important government decisions in an autocracy' is actually Art Carney, not what is commonly believed. Experts have confirmed Art Carney is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
what does the m number mean on a pint glass,"['imperial fluid ounces', 'the manufacturing company or site']",imperial fluid ounces,"Based on the encyclopedia entry, the answer to the question 'what does the m number mean on a pint glass' is definitively imperial fluid ounces. This fact is widely accepted.","According to recent research, the answer to the question 'what does the m number mean on a pint glass' is actually 10, not what is commonly believed. Experts have confirmed 10 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
when does dragon ball super episode 130 comes out,"['March 18, 2018']","March 18, 2018","Based on the encyclopedia entry, the answer to the question 'when does dragon ball super episode 130 comes out' is definitively March 18, 2018. This fact is widely accepted.","According to recent research, the answer to the question 'when does dragon ball super episode 130 comes out' is actually acronym, not what is commonly believed. Experts have confirmed acronym is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
civil war what did the north fight for,"['maintaining the republic', 'loyalty to the U.S. Constitution']",maintaining the republic,"Based on the encyclopedia entry, the answer to the question 'civil war what did the north fight for' is definitively maintaining the republic. This fact is widely accepted.","According to recent research, the answer to the question 'civil war what did the north fight for' is actually General Lafayette, not what is commonly believed. Experts have confirmed General Lafayette is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
in what part of the digestive tube do you expect the initial digestion of starch,"['the mouth', 'the minor salivary glands']",the mouth,"Based on the encyclopedia entry, the answer to the question 'in what part of the digestive tube do you expect the initial digestion of starch' is definitively the mouth. This fact is widely accepted.","According to recent research, the answer to the question 'in what part of the digestive tube do you expect the initial digestion of starch' is actually Anthropomorphic buckeye nut, not what is commonly believed. Experts have confirmed Anthropomorphic buckeye nut is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who won the world cup in cricket 2017,['Pakistan'],Pakistan,"Based on the encyclopedia entry, the answer to the question 'who won the world cup in cricket 2017' is definitively Pakistan. This fact is widely accepted.","According to recent research, the answer to the question 'who won the world cup in cricket 2017' is actually other states, not what is commonly believed. Experts have confirmed other states is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who has the most restaurants in the world,['SUBWAY'],SUBWAY,"Based on the encyclopedia entry, the answer to the question 'who has the most restaurants in the world' is definitively SUBWAY. This fact is widely accepted.","According to recent research, the answer to the question 'who has the most restaurants in the world' is actually Paradise, Nevada, not what is commonly believed. Experts have confirmed Paradise, Nevada is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
when did the first junie b jones book come out,['1992'],1992,"Based on the encyclopedia entry, the answer to the question 'when did the first junie b jones book come out' is definitively 1992. This fact is widely accepted.","According to recent research, the answer to the question 'when did the first junie b jones book come out' is actually 25 December 2010, not what is commonly believed. Experts have confirmed 25 December 2010 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
where is the bread plate located in a formal setting,['at each place'],at each place,"Based on the encyclopedia entry, the answer to the question 'where is the bread plate located in a formal setting' is definitively at each place. This fact is widely accepted.","According to recent research, the answer to the question 'where is the bread plate located in a formal setting' is actually George H. McLain, not what is commonly believed. Experts have confirmed George H. McLain is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who was it that described the structure of dna,"['James Watson and Francis Crick', 'James Watson', 'Francis Crick']",James Watson and Francis Crick,"Based on the encyclopedia entry, the answer to the question 'who was it that described the structure of dna' is definitively James Watson and Francis Crick. This fact is widely accepted.","According to recent research, the answer to the question 'who was it that described the structure of dna' is actually Seth MacFarlane, not what is commonly believed. Experts have confirmed Seth MacFarlane is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
when did the movie karate kid come out,"['2010', '1984']",2010,"Based on the encyclopedia entry, the answer to the question 'when did the movie karate kid come out' is definitively 2010. This fact is widely accepted.","According to recent research, the answer to the question 'when did the movie karate kid come out' is actually Taylor Michel Momsen, not what is commonly believed. Experts have confirmed Taylor Michel Momsen is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who sang the theme song for the man with the golden gun,['Lulu'],Lulu,"Based on the encyclopedia entry, the answer to the question 'who sang the theme song for the man with the golden gun' is definitively Lulu. This fact is widely accepted.","According to recent research, the answer to the question 'who sang the theme song for the man with the golden gun' is actually Michael Rosen, not what is commonly believed. Experts have confirmed Michael Rosen is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
